instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,6,0,2,14.110847,18.18125,16.0446,10.749882,331,654,985
2,2011-01-02,1,0,1,0,0,0,2,14.902598,17.68695,24.8539,16.652113,131,670,801
3,2011-01-03,1,0,1,0,1,1,1,8.050924,9.47025,24.8309,16.636703,120,1229,1349
4,2011-01-04,1,0,1,0,2,1,1,8.2,10.6061,16.0296,10.739832,108,1454,1562
5,2011-01-05,1,0,1,0,3,1,1,9.305237,11.4635,18.69,12.5223,82,1518,1600
6,2011-01-06,1,0,1,0,4,1,1,8.378268,11.66045,8.95652,6.0008684,88,1518,1606
7,2011-01-07,1,0,1,0,5,1,2,8.057402,10.44195,16.8726,11.304642,148,1362,1510
8,2011-01-08,1,0,1,0,6,0,2,6.765,8.1127,26.6804,17.875868,68,891,959
9,2011-01-09,1,0,1,0,0,0,1,5.671653,5.80875,36.195,24.25065,54,768,822
10,2011-01-10,1,0,1,0,1,1,1,6.184153,7.5444,22.3267,14.958889,41,1280,1321
11,2011-01-11,1,0,1,0,2,1,2,6.932731,9.5732,12.2132,8.182844,43,1220,1263
12,2011-01-12,1,0,1,0,3,1,1,7.081807,8.02365,30.4627,20.410009,25,1137,1162
13,2011-01-13,1,0,1,0,4,1,1,6.765,7.54415,30.1,20.167,38,1368,1406
14,2011-01-14,1,0,1,0,5,1,1,6.59567,9.42065,12.6548,8.478716,54,1367,1421
15,2011-01-15,1,0,1,0,6,0,2,9.566653,12.4056,15.7963,10.583521,222,1026,1248
16,2011-01-16,1,0,1,0,0,0,1,9.498347,11.71085,18.8433,12.625011,251,953,1204
17,2011-01-17,1,0,1,1,1,0,2,7.209153,8.83855,19.4017,12.999139,117,883,1000
18,2011-01-18,1,0,1,0,2,1,2,8.883347,11.61665,14.6775,9.833925,9,674,683
19,2011-01-19,1,0,1,0,3,1,2,11.979134,14.9211,20.8317,13.957239,78,1572,1650
20,2011-01-20,1,0,1,0,4,1,2,10.728347,12.7525,19.5904,13.125568,83,1844,1927
21,2011-01-21,1,0,1,0,5,1,1,7.2775,7.89165,35.3242,23.667214,75,1468,1543
22,2011-01-22,1,0,1,0,6,0,1,2.4243464,3.95348,17.197,11.52199,93,888,981
23,2011-01-23,1,0,1,0,0,0,1,3.9573897,4.941955,24.66,16.5222,150,836,986
24,2011-01-24,1,0,1,0,1,1,1,3.9930433,5.8965,15.833,10.60811,86,1330,1416
25,2011-01-25,1,0,1,0,2,1,2,9.162598,11.7263,12.9796,8.696332,186,1799,1985
26,2011-01-26,1,0,1,0,3,1,3,8.9175,10.18,29.385,19.68795,34,472,506
27,2011-01-27,1,0,1,0,4,1,1,7.995,10.985,11.3837,7.627079,15,416,431
28,2011-01-28,1,0,1,0,5,1,2,8.342598,11.16585,12.33,8.2611,38,1129,1167
29,2011-01-29,1,0,1,0,6,0,1,8.057402,10.6063,14.5365,9.739455,123,975,1098
30,2011-01-30,1,0,1,0,0,0,1,8.877402,12.5161,7.39826,4.9568342,140,956,1096
31,2011-01-31,1,0,1,0,1,1,2,7.414153,9.3125,18.7192,12.541864,42,1459,1501
32,2011-02-01,1,0,2,0,2,1,2,7.879134,11.7265,5.3213,3.565271,47,1313,1360
33,2011-02-02,1,0,2,0,3,1,2,10.66,12.72085,26.4308,17.708636,72,1454,1526
34,2011-02-03,1,0,2,0,4,1,1,7.665237,8.8939,27.7752,18.609384,61,1489,1550
35,2011-02-04,1,0,2,0,5,1,2,8.663464,11.42935,12.7839,8.565213,88,1620,1708
36,2011-02-05,1,0,2,0,6,0,2,9.566653,12.1529,16.1079,10.792293,100,905,1005
37,2011-02-06,1,0,2,0,0,0,1,11.719153,14.58355,14.18,9.5006,354,1269,1623
38,2011-02-07,1,0,2,0,1,1,1,11.138347,15.1829,4.54083,3.0423561,120,1592,1712
39,2011-02-08,1,0,2,0,2,1,1,9.054153,9.9123,36.195,24.25065,64,1466,1530
40,2011-02-09,1,0,2,0,3,1,2,5.526103,7.21415,18.8839,12.652213,53,1552,1605
41,2011-02-10,1,0,2,0,4,1,1,5.918268,7.4774,22.1935,14.869645,47,1491,1538
42,2011-02-11,1,0,2,0,5,1,1,7.752731,10.67545,10.855,7.27285,149,1597,1746
43,2011-02-12,1,0,2,0,6,0,1,9.1225,11.6477,20.3367,13.625589,288,1184,1472
44,2011-02-13,1,0,2,0,0,0,1,12.977402,16.20565,26.0883,17.479161,397,1192,1589
45,2011-02-14,1,0,2,0,1,1,1,17.015,19.9175,41.7908,27.999836,208,1705,1913
46,2011-02-15,1,0,2,0,2,1,1,10.909567,12.7137,29.1374,19.522058,140,1675,1815
47,2011-02-16,1,0,2,0,3,1,1,13.048701,15.81,25.1791,16.869997,218,1897,2115
48,2011-02-17,1,0,2,0,4,1,1,17.869153,21.4329,23.0104,15.416968,259,2216,2475
49,2011-02-18,1,0,2,0,5,1,1,21.388347,25.59915,26.4925,17.749975,579,2348,2927
50,2011-02-19,1,0,2,0,6,0,1,16.365847,19.5702,50.7463,34.000021,532,1103,1635
51,2011-02-20,1,0,2,0,0,0,1,11.693897,13.8665,22.3235,14.956745,639,1173,1812
52,2011-02-21,1,0,2,1,1,0,2,12.436653,14.20375,30.7846,20.625682,195,912,1107
53,2011-02-22,1,0,2,0,2,1,1,7.471102,9.30165,19.5683,13.110761,74,1376,1450
54,2011-02-23,1,0,2,0,3,1,1,9.091299,12.28585,9.4113,6.305571,139,1778,1917
55,2011-02-24,1,0,2,0,4,1,2,12.121732,14.45955,25.0496,16.783232,100,1707,1807
56,2011-02-25,1,0,2,0,5,1,2,14.938268,17.52305,34.6539,23.218113,120,1341,1461
57,2011-02-26,1,0,2,0,6,0,1,11.5825,14.1096,18.6571,12.500257,424,1545,1969
58,2011-02-27,1,0,2,0,0,0,1,14.082598,17.55545,12.5248,8.391616,694,1708,2402
59,2011-02-28,1,0,2,0,1,1,2,16.698193,20.0059,28.9686,19.408962,81,1365,1446
60,2011-03-01,1,0,3,0,2,1,1,10.933347,13.19395,21.6425,14.500475,137,1714,1851
61,2011-03-02,1,0,3,0,3,1,1,13.735,16.00355,30.7833,20.624811,231,1903,2134
62,2011-03-03,1,0,3,0,4,1,1,8.131653,10.00665,22.5754,15.125518,123,1562,1685
63,2011-03-04,1,0,3,0,5,1,2,10.728347,12.78395,20.3346,13.624182,214,1730,1944
64,2011-03-05,1,0,3,0,6,0,2,15.750847,18.93895,25.1871,16.875357,640,1437,2077
65,2011-03-06,1,0,3,0,0,0,2,15.437402,18.3126,34.3287,23.000229,114,491,605
66,2011-03-07,1,0,3,0,1,1,1,10.731299,11.92305,34.1352,22.870584,244,1628,1872
67,2011-03-08,1,0,3,0,2,1,1,11.9925,15.12,12.065,8.08355,316,1817,2133
68,2011-03-09,1,0,3,0,3,1,2,12.129153,14.3304,22.015,14.75005,191,1700,1891
69,2011-03-10,1,0,3,0,4,1,3,15.952731,19.2834,26.1877,17.545759,46,577,623
70,2011-03-11,1,0,3,0,5,1,2,12.977402,15.25,23.297,15.60899,247,1730,1977
71,2011-03-12,1,0,3,0,6,0,1,13.495847,16.2875,22.0775,14.791925,724,1408,2132
72,2011-03-13,1,0,3,0,0,0,1,15.758268,19.00455,27.0604,18.130468,982,1435,2417
73,2011-03-14,1,0,3,0,1,1,1,13.333897,16.6,13.6926,9.174042,359,1687,2046
74,2011-03-15,1,0,3,0,2,1,2,13.013031,15.9089,18.4309,12.348703,289,1767,2056
75,2011-03-16,1,0,3,0,3,1,2,14.973897,18.3465,20.3117,13.608839,321,1871,2192
76,2011-03-17,1,0,3,0,4,1,1,17.015,20.51665,20.9579,14.041793,424,2320,2744
77,2011-03-18,1,0,3,0,5,1,1,22.14,26.35045,23.1017,15.478139,884,2355,3239
78,2011-03-19,1,0,3,0,6,0,1,19.3725,23.32625,36.8167,24.667189,1424,1693,3117
79,2011-03-20,1,0,3,0,0,0,1,13.6325,16.2875,20.7721,13.917307,1047,1424,2471
80,2011-03-21,2,0,3,0,1,1,2,17.647835,20.48675,28.8783,19.348461,401,1676,2077
81,2011-03-22,2,0,3,0,2,1,1,18.108347,22.0321,22.575,15.12525,460,2243,2703
82,2011-03-23,2,0,3,0,3,1,2,14.225237,16.89695,23.4261,15.695487,203,1918,2121
83,2011-03-24,2,0,3,0,4,1,2,11.685,13.54165,24.3787,16.333729,166,1699,1865
84,2011-03-25,2,0,3,0,5,1,1,10.830847,12.8156,23.0725,15.458575,300,1910,2210
85,2011-03-26,2,0,3,0,6,0,1,10.899153,12.87855,20.9571,14.041257,981,1515,2496
86,2011-03-27,2,0,3,0,0,0,2,10.374763,12.51695,18.43,12.3481,472,1221,1693
87,2011-03-28,2,0,3,0,1,1,1,10.838268,12.8787,21.2204,14.217668,222,1806,2028
88,2011-03-29,2,0,3,0,2,1,1,12.4025,14.6454,22.6996,15.208732,317,2108,2425
89,2011-03-30,2,0,3,0,3,1,2,12.3,14.8675,17.2888,11.583496,168,1368,1536
90,2011-03-31,2,0,3,0,4,1,3,11.001653,12.87875,21.7646,14.582282,179,1506,1685
91,2011-04-01,2,0,4,0,5,1,2,12.3,14.1727,25.8708,17.333436,307,1920,2227
92,2011-04-02,2,0,4,0,6,0,2,12.915,15.78185,19.7146,13.208782,898,1354,2252
93,2011-04-03,2,0,4,0,0,0,1,15.511653,18.93835,18.2213,12.208271,1651,1598,3249
94,2011-04-04,2,0,4,0,1,1,1,23.506653,27.14645,38.5571,25.833257,734,2381,3115
95,2011-04-05,2,0,4,0,2,1,2,16.980847,19.9175,38.8067,26.000489,167,1628,1795
96,2011-04-06,2,0,4,0,3,1,1,16.024153,19.3804,26.3063,17.625221,413,2395,2808
97,2011-04-07,2,0,4,0,4,1,1,17.9375,21.6848,16.2312,10.874904,571,2570,3141
98,2011-04-08,2,0,4,0,5,1,2,13.769153,16.22395,22.6992,15.208464,172,1299,1471
99,2011-04-09,2,0,4,0,6,0,2,14.0425,17.07645,13.3083,8.916561,879,1576,2455
100,2011-04-10,2,0,4,0,0,0,2,17.493347,21.33685,14.6767,9.833389,1188,1707,2895
101,2011-04-11,2,0,4,0,1,1,2,24.421732,28.26085,32.4474,21.739758,855,2493,3348
102,2011-04-12,2,0,4,0,2,1,2,20.6025,24.6527,27.4879,18.416893,257,1777,2034
103,2011-04-13,2,0,4,0,3,1,2,16.9125,20.86415,25.0617,16.791339,209,1953,2162
104,2011-04-14,2,0,4,0,4,1,1,19.1675,23.1371,11.07,7.4169,529,2738,3267
105,2011-04-15,2,0,4,1,5,0,1,18.313347,22.09565,22.6375,15.167125,642,2484,3126
106,2011-04-16,2,0,4,0,6,0,3,17.664153,21.2746,34.0808,22.834136,121,674,795
107,2011-04-17,2,0,4,0,0,0,1,18.723347,22.2848,30.3496,20.334232,1558,2186,3744
108,2011-04-18,2,0,4,0,1,1,1,21.0125,25.1573,16.3567,10.958989,669,2760,3429
109,2011-04-19,2,0,4,0,2,1,2,20.739153,24.4629,15.7971,10.584057,409,2795,3204
110,2011-04-20,2,0,4,0,3,1,1,24.395,28.2196,24.1925,16.208975,613,3331,3944
111,2011-04-21,2,0,4,0,4,1,1,18.825847,22.6946,32.5258,21.792286,745,3444,4189
112,2011-04-22,2,0,4,0,5,1,2,13.803347,16.0977,21.9521,14.707907,177,1506,1683
113,2011-04-23,2,0,4,0,6,0,2,18.86,22.50605,23.0725,15.458575,1462,2574,4036
114,2011-04-24,2,0,4,0,0,0,2,23.848347,27.58815,19.2175,12.875725,1710,2481,4191
115,2011-04-25,2,0,4,0,1,1,1,24.873347,28.725,18.5333,12.417311,773,3300,4073
116,2011-04-26,2,0,4,0,2,1,1,25.898347,29.70415,32.65,21.8755,678,3722,4400
117,2011-04-27,2,0,4,0,3,1,2,25.42,28.7571,31.22,20.9174,547,3325,3872
118,2011-04-28,2,0,4,0,4,1,2,25.3175,28.94645,32.0908,21.500836,569,3489,4058
119,2011-04-29,2,0,4,0,5,1,1,20.91,24.87315,24.0063,16.084221,878,3717,4595
120,2011-04-30,2,0,4,0,6,0,1,19.3725,23.20105,23.5075,15.750025,1965,3347,5312
121,2011-05-01,2,0,5,0,0,0,2,18.518347,22.4102,10.6354,7.125718,1138,2213,3351
122,2011-05-02,2,0,5,0,1,1,2,22.515847,26.64165,18.3454,12.291418,847,3554,4401
123,2011-05-03,2,0,5,0,2,1,2,25.283347,29.10395,34.2667,22.958689,603,3848,4451
124,2011-05-04,2,0,5,0,3,1,2,16.980847,20.2325,32.8996,22.042732,255,2378,2633
125,2011-05-05,2,0,5,0,4,1,1,18.825847,22.09585,29.5392,19.791264,614,3819,4433
126,2011-05-06,2,0,5,0,5,1,1,19.645847,23.70585,22.8246,15.292482,894,3714,4608
127,2011-05-07,2,0,5,0,6,0,1,21.32,25.63105,16.045,10.75015,1612,3102,4714
128,2011-05-08,2,0,5,0,0,0,1,21.661653,25.94665,7.46375,5.0007125,1401,2932,4333
129,2011-05-09,2,0,5,0,1,1,1,21.8325,26.2623,17.6,11.792,664,3698,4362
130,2011-05-10,2,0,5,0,2,1,1,21.8325,26.13605,11.5671,7.749957,694,4109,4803
131,2011-05-11,2,0,5,0,3,1,1,22.2425,26.42,12.0642,8.083014,550,3632,4182
132,2011-05-12,2,0,5,0,4,1,1,21.935,26.16815,18.9667,12.707689,695,4169,4864
133,2011-05-13,2,0,5,0,5,1,2,21.0125,24.715,17.9725,12.041575,692,3413,4105
134,2011-05-14,2,0,5,0,6,0,2,21.354153,25.03145,13.495,9.04165,902,2507,3409
135,2011-05-15,2,0,5,0,0,0,2,23.0625,26.8,15.2979,10.249593,1582,2971,4553
136,2011-05-16,2,0,5,0,1,1,1,23.6775,27.5256,12.6871,8.500357,773,3185,3958
137,2011-05-17,2,0,5,0,2,1,2,23.028347,26.92645,27.7354,18.582718,678,3445,4123
138,2011-05-18,2,0,5,0,3,1,2,22.55,26.3579,20.1492,13.499964,536,3319,3855
139,2011-05-19,2,0,5,0,4,1,2,21.764153,25.5371,10.8213,7.250271,735,3840,4575
140,2011-05-20,2,0,5,0,5,1,1,22.003347,26.4521,12.5013,8.375871,909,4008,4917
141,2011-05-21,2,0,5,0,6,0,1,24.7025,28.59875,12.065,8.08355,2258,3547,5805
142,2011-05-22,2,0,5,0,0,0,1,24.770847,28.725,14.8008,9.916536,1576,3084,4660
143,2011-05-23,2,0,5,0,1,1,2,25.898347,29.5148,23.3842,15.667414,836,3438,4274
144,2011-05-24,2,0,5,0,2,1,2,27.06,30.24065,20.7092,13.875164,659,3833,4492
145,2011-05-25,2,0,5,0,3,1,1,27.094153,30.7771,15.4233,10.333611,740,4238,4978
146,2011-05-26,2,0,5,0,4,1,1,29.041653,32.7344,19.9642,13.376014,758,3919,4677
147,2011-05-27,2,0,5,0,5,1,1,27.948347,31.8504,24.0679,16.125493,871,3808,4679
148,2011-05-28,2,0,5,0,6,0,1,26.889153,30.61895,23.0092,15.416164,2001,2757,4758
149,2011-05-29,2,0,5,0,0,0,1,27.3675,30.7775,21.3938,14.333846,2355,2433,4788
